Feed name,Headline,Publication,Date,Time,Media type,Link,Language,Page number,Area (sq. cm),Section,Story Lead?,Story ID,Source Country,Source Region,Source Subregion,Reach Value,Reach Type,DAZN [mentions],DAZN [sentiment],DAZN [salience],Aviation relevant,Call of Duty,Cloud,DAZN Media announcement,DAZN TMO Irrelevant,Exclusions,ICA - Relevant coverage,Not launch,relevant,Remove,SAV irrelevant,SAV relevant,Spyro,Sentiment / Negative,Sentiment / Neutral,Sentiment / Positive
DAZN: Spain,Baskonia-Barcelona: time and where to watch the Euroliga game,La Vanguardia,02/01/2020,09:12:31,Online,https://article.signal-ai.com/099867e4-9c67-37e2-8424-f9f8e4282dc5?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,f2523524-6cf9-4235-b1cb-148bcbbcebad,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,The Athletic is looking to make a seven to his calendar.,Mundo Deportivo,02/01/2020,06:30:00,Online,https://article.signal-ai.com/ff0a330e-cbea-3b23-a713-850e09a457a0?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,fd4ff34d-786f-41dd-b022-e08e83ae37a3,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,"Liverpool, to be continued firmly by 2020",Mundo Deportivo,02/01/2020,06:00:00,Online,https://article.signal-ai.com/66ede02b-1920-3258-a620-e48e75f2b202?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,afb4dea3-0083-4532-8214-9edf947e659c,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,
DAZN: Spain,The Canelo Alvarez ' fled’ with the girdles and millions of the ring,Listin Diaro,02/01/2020,04:01:41,Online,https://article.signal-ai.com/fffc0508-e38c-38c8-82cd-16795a96c86e?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,f92183a2-cef8-4bfe-a2c2-1fbbdb6bd8ae,Mexico,Americas,Central America,625000,monthly-unique-visitors,2,neutral,0.1,,,,,,,,,,,,,,,,
DAZN: Spain,Premier Jornada 21,El Punt Avui Catalunya,02/01/2020,00:00:00,Print,https://article.signal-ai.com/9fbecfa0-b75a-3dbd-934b-3b76eae3db55?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Catalan,,,,Y,fc158cd4-18db-411e-86d8-9f23ac6ea016,Spain,Europe,Southern Europe,,,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Premier Jornada 21,El Punt Avui Comarques Gironines,02/01/2020,00:00:00,Print,https://article.signal-ai.com/c592cc82-8a3c-313a-a095-13307ae5e5cc?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,English,,,,N,fc158cd4-18db-411e-86d8-9f23ac6ea016,Spain,Europe,Southern Europe,7500,circulation,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Basketball-Euroliga; Ivanovic's Baskonia tests Barcelona,ABC,02/01/2020,00:00:00,Print,https://article.signal-ai.com/b0a148f0-ccd7-3281-b3c7-b17e536c79ba?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,DEPORTES,Y,9fdbfa29-27fb-4fab-bc04-5587eb343d96,Spain,Europe,Southern Europe,175000,circulation,1,neutral,0.25,,,,,,,,,,,,,,,,
DAZN: Spain,Basketball; Ivanovic's Baskonia tests Barça,ABC Sevilla,02/01/2020,00:00:00,Print,https://article.signal-ai.com/26e2045d-9ae6-3f73-84f3-fd9d9b0c9431?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,DEPORTES,Y,6eb15f75-ec7c-419e-88a4-2c1268b674ae,Spain,Europe,Southern Europe,30000,circulation,1,neutral,0.25,,,,,,,,,,,,,,,,
DAZN: Spain,"Berrocal and Braulio ; Euroleague. Has had 20 coaches in 31 years and looking for old formulae like Ivanovic, who returns for the third time in Vitoria. Perasovic also there was in three different stages",El Punt Avui Comarques Gironines,02/01/2020,00:00:00,Print,https://article.signal-ai.com/d7333b22-50eb-33c4-b107-d048edea02b7?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Catalan,,,,Y,0cd586c9-4447-4b1e-8e4d-bdf37a6b5a36,Spain,Europe,Southern Europe,7500,circulation,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,International time and where to see the Kirolbet Baskonia-Barcelona,EL ESPAÑOL,01/01/2020,20:22:19,Online,https://article.signal-ai.com/23a529a7-9592-31bf-b9a2-11d2825dcd06?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,60afc79a-edd4-44cb-bc06-807b22baf6be,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Florentino visits soccer and basketball templates,MSN Spain,01/01/2020,20:13:06,Online,https://article.signal-ai.com/57353ba0-97ad-3959-94bb-7265da8f6850?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,2b916d12-1758-4168-b7fd-49baf82c4fe9,Spain,Europe,Southern Europe,37500000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Florentino Pérez visits soccer and basketball templates,AS.com,01/01/2020,19:35:09,Online,https://article.signal-ai.com/b63ebb71-9cd8-39d1-bcf8-05fb7366d6a3?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,N,2b916d12-1758-4168-b7fd-49baf82c4fe9,Spain,Europe,Southern Europe,8750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Arsenal-Man. Utd: Premier League live,La Vanguardia,01/01/2020,19:00:00,Online,https://article.signal-ai.com/2cfa1711-9fdb-3c07-8181-9dbcdc431325?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,e740b72d-2e04-4855-8623-c4f05c467298,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Prior to the Kirolbet Baskonia-Barça,SIGLO XXI,01/01/2020,19:09:38,Online,https://article.signal-ai.com/58099dae-4dbc-3eed-9901-dbb90784e31e?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,aafe036c-3b74-4f36-9cf6-61fc71b6e0ce,Spain,Europe,Southern Europe,7500,monthly-unique-visitors,2,neutral,0.3,,,,,,,,,,,,,,,,
DAZN: Spain,Prior to the Kirolbet Baskonia-Barça,Bolsamania,01/01/2020,18:58:17,Online,https://article.signal-ai.com/c284d779-ece7-3e71-8004-d3d80aa0d96f?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,N,aafe036c-3b74-4f36-9cf6-61fc71b6e0ce,Spain,Europe,Southern Europe,175000,monthly-unique-visitors,2,neutral,0.3,,,,,,,,,,,,,,,,
DAZN: Spain,Ryan Garcia stars Valentine vs. Francisco Fonseca,ESPN Deportes,01/01/2020,18:42:10,Online,https://article.signal-ai.com/87e8fb52-858c-3977-9694-bacc4b852f77?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,8dab939c-9593-41d2-a264-35bb23d9a997,United States,Americas,Northern America,,,1,neutral,0.25,,,,,,,,,,,,,,,,
DAZN: Spain,Norwich City-Crystal Palace: Premier League live,La Vanguardia,01/01/2020,16:30:00,Online,https://article.signal-ai.com/17b8f1b9-dabe-3907-8e32-67a757756c29?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,f5528602-8be3-4a4c-ae95-48967f2a8317,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,West Ham-AFC Bournemouth: Premier League live,La Vanguardia,01/01/2020,16:30:00,Online,https://article.signal-ai.com/0c963588-dfbf-3f5b-96d8-b645fff85feb?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,699219c5-b2bf-46b5-b0c9-955ac3347acd,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Man. City-Everton: Premier League live,La Vanguardia,01/01/2020,16:30:00,Online,https://article.signal-ai.com/c7dc21f6-e9d6-3b80-af89-45a926575dc1?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,0e71504b-773a-4aa7-a859-55d0c38f5739,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Arsenal-Manchester United: Time and where to watch football,La Vanguardia,01/01/2020,15:00:00,Online,https://article.signal-ai.com/032dc78a-08ad-3269-9d91-8ed763cc1fa1?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,afd45404-e7ca-48c0-bff4-ef63687a4d70,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,
DAZN: Spain,Manchester City-Everton: time and where to watch football,La Vanguardia,01/01/2020,15:00:00,Online,https://article.signal-ai.com/a0dcd821-cae0-30c6-8329-6afe7c011e20?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,1925cc64-0248-487f-bb6a-f1b8ce193e47,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Southampton-Tottenham Hotspur: Premier League live,La Vanguardia,01/01/2020,14:00:00,Online,https://article.signal-ai.com/26149940-3cd1-3c98-964d-c808e89b5eec?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,d652906c-c241-450a-a327-6a4acc6920ba,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Liverpool-Sheffield United: Time and where to watch the Premier League game,La Vanguardia,01/01/2020,14:00:00,Online,https://article.signal-ai.com/d6c51478-4c96-3bf9-8048-4672228a9abf?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,a7344f09-8b51-40e4-b8b1-bdf60d92ae3c,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,
DAZN: Spain,Newcastle-Leicester: Premier League live,La Vanguardia,01/01/2020,14:00:00,Online,https://article.signal-ai.com/2ef008e9-476a-3d60-9276-d29356f1f117?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,7ed2191d-13a7-468b-b79b-3564c334f1e5,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Burnley-Aston Villa: Premier League live,La Vanguardia,01/01/2020,11:30:00,Online,https://article.signal-ai.com/a40ba6f7-ae8b-3378-9fcb-b3bb7634526f?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,5b73d818-4a3f-40fb-a63d-1726ef9d7da4,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Brighton & Hove Albion-Chelsea: Premier League live,La Vanguardia,01/01/2020,11:30:00,Online,https://article.signal-ai.com/a8e16dd8-266d-3a1b-8984-94447b8df9ee?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,0a1bf0a4-c6b8-402d-8732-eff4f4642d42,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Amazon drops the price of the Amazon Fire TV Stick player back to less than€30,Computer Hoy,01/01/2020,10:01:25,Online,https://article.signal-ai.com/41bbf950-8d08-3886-903a-e82757574550?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,0c0bc950-33bb-47bc-a5eb-11ecbc7692fb,Spain,Europe,Southern Europe,3750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Arteta seeks his first victory at the head of the Arsenal,Sport,01/01/2020,08:37:10,Online,https://article.signal-ai.com/c20dde15-08ef-3f43-bf39-23a3d4b9e6eb?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,85140905-2ee9-4a01-a8e3-12218f060ea7,United Kingdom,Europe,Northern Europe,,,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Arteta seeks his first victory at the head of the Arsenal,Sport.es,01/01/2020,08:36:16,Online,https://article.signal-ai.com/9aa329cc-8bd5-3b4e-aac0-dd00b2caaf7e?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,N,85140905-2ee9-4a01-a8e3-12218f060ea7,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,10 technological gifts for the Wise Men,Muy Computer.com,01/01/2020,08:04:22,Online,https://article.signal-ai.com/041b9162-0496-3fb8-b6d1-9baf987a11f5?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,4223aec8-b3ac-47c7-b0b0-7d3a259ad369,Spain,Europe,Southern Europe,625000,monthly-unique-visitors,1,positive,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,"” Canelo "" Álvarez, the best boxer of 2019: AMB",OMNIA Cuauhtemoc,31/12/2019,21:20:15,Online,https://article.signal-ai.com/d92061e2-3472-3212-80d8-de4a3f0f4c03?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,1d955004-7056-44cc-a56f-6b3cfa4c4f0c,Mexico,Americas,Central America,0,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,"Saul ""Canelo"" Álvarez a year more devoted to the controversy",Solo Boxeo,31/12/2019,20:12:14,Online,https://article.signal-ai.com/671d7298-6137-3cc9-870f-94283bf1c810?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,143014ba-1ccc-44be-97e5-e94d82303fa9,Spain,Europe,Southern Europe,30000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,Arsenal-Manchester United,La Vanguardia,31/12/2019,14:00:00,Online,https://article.signal-ai.com/91463bd0-7e4e-3b15-86a1-38bcdf52b217?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,4edf3692-600c-47f9-9cf4-1edd2c60b431,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Spain,"Games, schedules and where to watch on TV and online the 21st day of the English League",Marca,31/12/2019,13:55:00,Online,https://article.signal-ai.com/9d953b21-1775-309c-a69a-c8b24392f8d0?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,4d6537d7-0151-44cd-bd58-9e677a87612f,Spain,Europe,Southern Europe,6250000,monthly-unique-visitors,11,neutral,0.55,,,,,,,,,,,,,,,,
DAZN: Spain,West Ham-AFC Bournemouth: time and where to watch the Premier League game,La Vanguardia,31/12/2019,11:30:00,Online,https://article.signal-ai.com/c2c34bf5-e47f-3c21-b25e-cd7e0933520e?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Spanish,,,,Y,4be3c87c-fa1c-4424-ad14-6b172805e5f1,Spain,Europe,Southern Europe,1750000,monthly-unique-visitors,1,neutral,0.25,,,,,,,,,,,,,,,,
